cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C01597	ORG-C02825	קאַמינסקיס טעאַטער	בערנשטייןס פּראָווינץ-טרופּע	Traveling Company	Traveling Company	וואַרשע		809	199	טרופּע פֿון א. י. קאַמינסקי	Berl Bernstein Troupe	ALIGN	ALIGN	2	0.062	0.594	לוּאי, דוד | לואי, דוד		
ORG-C01597	ORG-C02826	קאַמינסקיס טעאַטער	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	Traveling Company	Traveling Company	וואַרשע		809	864	טרופּע פֿון א. י. קאַמינסקי	טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי	ALIGN	ALIGN	2	0.062	0.594	לוּאי, דוד | לואי, דוד		
ORG-C01597	ORG-C04097	קאַמינסקיס טעאַטער	קאָמפּאַנעעץ	Traveling Company	Traveling Company	וואַרשע	וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	809	302	טרופּע פֿון א. י. קאַמינסקי	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	2	0.03	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02822	ORG-C02823	מייזלערס שול	וואַוועלבערגס פּאָליטעכניקום	Education	Education									2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02822	ORG-C02824	מייזלערס שול	יידישער סעקציע ביי פּ. פּ. ס.	Education	Non-Jewish political bodies									2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02822	ORG-C02825	מייזלערס שול	בערנשטייןס פּראָווינץ-טרופּע	Education	Traveling Company				199		Berl Bernstein Troupe		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02822	ORG-C02826	מייזלערס שול	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	Education	Traveling Company				864		טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02822	ORG-C04097	מייזלערס שול	קאָמפּאַנעעץ	Education	Traveling Company		וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע		302		קאָמפּאַניעיעצ'ס טרופּע		ALIGN	2	0.054	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02823	ORG-C02824	וואַוועלבערגס פּאָליטעכניקום	יידישער סעקציע ביי פּ. פּ. ס.	Education	Non-Jewish political bodies									2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02823	ORG-C02825	וואַוועלבערגס פּאָליטעכניקום	בערנשטייןס פּראָווינץ-טרופּע	Education	Traveling Company				199		Berl Bernstein Troupe		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02823	ORG-C02826	וואַוועלבערגס פּאָליטעכניקום	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	Education	Traveling Company				864		טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02823	ORG-C04097	וואַוועלבערגס פּאָליטעכניקום	קאָמפּאַנעעץ	Education	Traveling Company		וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע		302		קאָמפּאַניעיעצ'ס טרופּע		ALIGN	2	0.054	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02824	ORG-C02825	יידישער סעקציע ביי פּ. פּ. ס.	בערנשטייןס פּראָווינץ-טרופּע	Non-Jewish political bodies	Traveling Company				199		Berl Bernstein Troupe		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02824	ORG-C02826	יידישער סעקציע ביי פּ. פּ. ס.	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	Non-Jewish political bodies	Traveling Company				864		טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי		ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02824	ORG-C04097	יידישער סעקציע ביי פּ. פּ. ס.	קאָמפּאַנעעץ	Non-Jewish political bodies	Traveling Company		וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע		302		קאָמפּאַניעיעצ'ס טרופּע		ALIGN	2	0.054	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02825	ORG-C02826	בערנשטייןס פּראָווינץ-טרופּע	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	Traveling Company	Traveling Company			199	864	Berl Bernstein Troupe	טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי	ALIGN	ALIGN	2	1.0	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02825	ORG-C04097	בערנשטייןס פּראָווינץ-טרופּע	קאָמפּאַנעעץ	Traveling Company	Traveling Company		וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	199	302	Berl Bernstein Troupe	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	2	0.054	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02826	ORG-C04097	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	קאָמפּאַנעעץ	Traveling Company	Traveling Company		וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	864	302	טרופּע פון זיגמונד טורקאָוו און אידאַ קאַמינסקי	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	2	0.054	0.594	לוּאי, דוד | לואי, דוד		
ORG-C02846	ORG-C02847	מלוכהשן לערער- סעמינאַר	קאָנסערוואַטאָריע פֿאַר קלאַוויר אין לעמבערג	Education	Education	לעמבערג	לעמבערג							2	1.0	0.594	מעסטעל, מאיר | מעסטעל, מאיר		
ORG-C00207	ORG-C03941_Q01	חדר	קלעצקין-פֿאַרלאָג	Education	Publisher	ווילנע | קלעשטשעל	ווילנע		952		ווילנער פֿאַרלאָג פֿון ב. קלעצקין	DESCRIPTIVE	NEW	2	0.035	0.594	הירשביין, פרץ | טורקאָוו, מאַרק		
ORG-C00103	ORG-C04292	ווילנער טרופּע	דראַמאַטישע קורסן פֿון רוסישן רעזשיסער טראַגאַנאַוו-באַבראָוו	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551		ווילנער טרופּע		ALIGN		2	0.011	0.594	לוּבאָצקי, יעקב | עלמית, ס. [סאָניאַ לובאָצקי]		
ORG-C01567_Q01	ORG-C04292	מלוכה-טעאַטער	דראַמאַטישע קורסן פֿון רוסישן רעזשיסער טראַגאַנאַוו-באַבראָוו	Theatre	Education	ווילנע | סאָפיע	ווילנע					SPLIT		2	0.059	0.594	לוּבאָצקי, יעקב | עלמית, ס. [סאָניאַ לובאָצקי]		
ORG-C00515_Q01	ORG-C04857	טאַליאַ-טעאַטער	ניו יאָרקער רומעניע אָפּערע הויז	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	ניו יאָרק	130		Thalia Theatre|Bowery Theatre		ALIGN		2	0.029	0.594	העלמאַן, זיידל שמואַל-יהודה | מעסטעל, מאיר		
ORG-C00360_Q01	ORG-C05205	האָפּקינסאָן-טעאַטער	שניצערס קונסט-טעאַטער	Theatre	Theatre	ברוקליינער | ברוקלין | ברוקלינער	ניו יאָרק	282		Hopkinson Theatre		ALIGN		2	0.036	0.594	בליי העלען [יונה] | סקולניק, משה		
ORG-C00067_Q01	ORG-C00340_Q01	"ייוו""אָ"	נעשאָנאַל-טעאַטער	Heritage Institution	Theatre	ווילנע	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	1077	118	"ייוו""אָ"	National Theatre	NEW	ALIGN	2	0.014	0.594	אַפיש פון דער קבלת-פּנים-פאָרשטעלונג | אָשעראָוויטש, מ.		
ORG-C00635_Q01	ORG-C05205	פּאָבליק-טעאַטער	שניצערס קונסט-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	ניו יאָרק	365		Public Theatre (Folks Theatre)		ALIGN		2	0.041	0.594	בליי העלען [יונה] | האַרט, סידני [יוסף הערש]		
ORG-C00670	ORG-C04286	סעגאַלעסקאָס טרופּע	גאָלדפֿאַדען	Traveling Company	Traveling Company	וואָסלויאי | יאָסי | פאַלטיטשען	אָדעס | בוקאַרעסט | גאַלאַץ	338	42	Mordechai Segalesco Troupe	טרופּע ציפקוס	ALIGN	ALIGN	2	0.091	0.594	גליקמאַן, מעכעלע | זיגלער, מאָריץ [משה בעלזער]		
ORG-C04072_Q01	ORG-C04298	יוניע	זאַץס פאָלקס-טעאַטער	Theatre-related Society/ Union	Theatre		ניו יאָרק		1764		זאַץס פאָלקס-טעאַטער		NEW	2	0.054	0.594	האַרט, בערטאָ [מאַהלער] | האַרט, סידני [יוסף הערש]		
ORG-C04298	ORG-C05205	זאַץס פאָלקס-טעאַטער	שניצערס קונסט-טעאַטער	Theatre	Theatre	ניו יאָרק	ניו יאָרק	1764		זאַץס פאָלקס-טעאַטער		NEW		2	0.133	0.594	האַרט, בערטאָ [מאַהלער] | האַרט, סידני [יוסף הערש]		
ORG-C00515_Q01	ORG-C02957	טאַליאַ-טעאַטער	דער וועקער	Theatre	Journals/ Newspapers	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	בריסק | ראַקאָוו	130	687	Thalia Theatre|Bowery Theatre	דער וועקער	ALIGN	NEW	2	0.027	0.594	העלמאַן, זיידל שמואַל-יהודה | ריכטער, משה		
ORG-C00670	ORG-C01278_Q01	סעגאַלעסקאָס טרופּע	טעמפּל	Traveling Company	Theatre	וואָסלויאי | יאָסי | פאַלטיטשען	בוקאַרעסט	338	1816	Mordechai Segalesco Troupe	טעמפּל	ALIGN	NEW	2	0.154	0.594	ווייסמאַן, בערנאַרדאָ | זיגלער, מאָריץ [משה בעלזער]		
ORG-C01511	ORG-C01597	עליזעום-טעאַטער	קאַמינסקיס טעאַטער	Theatre	Traveling Company	וואַרשע	וואַרשע	237	809	עליזעום-טעאַטער	טרופּע פֿון א. י. קאַמינסקי	ALIGN	ALIGN	2	0.048	0.592	גאָטליב, העלענאַ [שלאַגמאַן] | וויינער לייב		
ORG-C00154_Q01	ORG-C00597	בונד	גרויסעס טעאַטער	Jewish political bodies	Theatre	ריגע	לאָדזש | לאדזש | לאָדזש	997	263	בונד	גרויסע טעאַטער	NEW	ALIGN	2	0.036	0.59	פינקוס, שאָלעם [וויטענבערג] | פֿרידמאַן, רובין (מאיר רובין]		
ORG-C00476	ORG-C00751	זאַסלאַווסקיס טרופּע	גוזיקס טרופּע	Traveling Company	Traveling Company	ניקאָלאַיעוו	אָדעס | קאָוונע | קיעוו | ראָמען	456	486	Zaslavsky Troupe	גוזיק	ALIGN	ALIGN	2	0.118	0.59	אַמאַטין, פּעטער [פּסח גאָלדבערג] | פּיקעלטשיק, יעטע		
ORG-C00198_Q01	ORG-C00756	אַרבעטער-רינג	יידישן לערער-אינסטיטוט	Jewish political bodies	Education	וואלדהיים | ניו יאָרק | ניו-יאָרק	ווילנע		943		יידישן לערער-אינסטיטוט	SPLIT	NEW	2	0.074	0.59	גאָרין, ב. [יצחק גוידאָ-הוידאַ] | פּיראָזשניקאָוו, יצחק		
ORG-C00137	ORG-C00585	סעם אַדלער	יוליוס אַדלערס טרופּע	Traveling Company	Traveling Company	וואַרשע | מינסק | קריוואָיראָג		376	811	סעם אַדלערס טרופּע	יוליוס אַדלערס טרופּע	ALIGN	NEW	2	0.067	0.59	כריסטעסקאָ פּראָפיראַ קאָנסטאַנטינאָוואַ [קריסטערמאַן] | פֿייווישאָוו, לייבע		
ORG-C00089	ORG-C01097_Q01	ווינדזאָר-טעאַטער	מאונט מאָריס טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	האַרלעם | האָרלעם	134		Windsor Theatre		ALIGN		2	0.035	0.59	גאָלדשטיין, דזשאָן ס. [יעקב] | פֿרידזעל, לואיס		
ORG-C00633_Q01	ORG-C01098	פּיפּלס-טעאַטער	היברו פּאָבלישינג קאָמפּאַני	Theatre		ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	נ. י. | ניו יאָרק | ניו יאָרק | ניו-יאָרק	120	52	People's Theatre NY	היברו פּאָבלישינג קאָמפּאַני	ALIGN	ALIGN	2	0.022	0.59	ליבּין, ז. [ישראל-זלמן הוּרוויטש] | פֿרידזעל, לואיס		
ORG-C00338_Q02	ORG-C00384	ליריק-טעאַטער	יידישער אַקטיאָרן-יוניע	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	875	442	ליריק-טעאַטער	Yiddish artists union	NEW	ALIGN	2	0.017	0.59	ראָזענטאָל, קלאַראַ | פֿריימאַן, לואיס [לייזער געניוק]		
ORG-C00114_Q01	ORG-C00257_Q01	הזמיר	פֿאַרווערטס	Musical organization	Journals/ Newspapers	וואַרשע | נאָוואַראַדאָמסק	נ. י. | ניו יאָרק | ניו-יאָרק | ניויאָרק		692		פֿאַרווערטס	SPLIT	ALIGN	2	0.019	0.59	שווייד, מאַרק [וואָלף-מרדכי] | שולווייס, משה		
ORG-C00154_Q01	ORG-C00544_Q01	בונד	פאָלקסצייטונג	Jewish political bodies	Journals/ Newspapers	ריגע	וואַרשע	997		בונד		NEW		2	0.057	0.59	מאַלקין, דב-בער | נתן פֿודעמבערג		
ORG-C00029	ORG-C01956	קאַמינסקי	געבילס פּאָבליק-טעאַטער	Traveling Company	Theatre	אָדעס | וואַרשע | יעקאַטערינאָסלאָוו | לאָדזש	ניו יאָרק | ניויאָרק	147		Kaminski's Theatre		ALIGN		2	0.049	0.59	גאָלדשטיין, זינאַ | ראָזענטאָל, באָריס		
ORG-C00160_Q01	ORG-C00317	יידישער קונסט טעאַטער	פישזאָןס טרופּע	Theatre	Traveling Company	ניו יאָרק | ניו יאָרק | ניו-יאָרק	אָדעס | בערדיטשעוו | וואַרשע | זשיטאָמיר | יעקאַטערינאָסלאַוו | כאָרקאָוו | סימפעראָפּאָל | קאנאַטאָפּ	443	506	Yiddish Art Theatre	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	ALIGN	ALIGN	2	0.038	0.59	פישזאָן, מישאַ [משה כאָסידמאַן] | ראָזענטאָל, באָריס		
ORG-C00515_Q01	ORG-C00672	טאַליאַ-טעאַטער	קאַמינסקי-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	וואַרשע | וואָרשע	130	147	Thalia Theatre|Bowery Theatre	Kaminski's Theatre	ALIGN	ALIGN	2	0.021	0.59	"יאָנג, בערנאַרד [בועז יונגוויץ] | „ליטעראַרישע טרופּע""."		
ORG-C00045	ORG-C02603	אַקסעלראדס טרופּע	ישיבה פון ר׳ שמואל קאַליש	Traveling Company	Education	טשעראָוויץ | טשערנאָוויץ | יאַסי | סטרי | קראָקע	לעמבערג	340		Morris Akselrad Troupe		ALIGN		2	0.08	0.59	אוריך סאמי [שמאי, גדליהו] | אוריך, סאמי [שמאי, גדליהו]		
ORG-C00682	ORG-C02603	סעקאָנד עוועניו טעאַטער	ישיבה פון ר׳ שמואל קאַליש	Theatre	Education	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	לעמבערג	128		סעקאָנד עוועניו טעאַטער		ALIGN		2	0.022	0.59	אוריך סאמי [שמאי, גדליהו] | אוריך, סאמי [שמאי, גדליהו]		
ORG-C02603	ORG-C02606	ישיבה פון ר׳ שמואל קאַליש	יונגווירט	Education	Traveling Company	לעמבערג	ווין		1667		יונגווירט		NEW	2	0.5	0.59	אוריך סאמי [שמאי, גדליהו] | אוריך, סאמי [שמאי, גדליהו]		
ORG-C00257_Q01	ORG-C00909	פֿאַרווערטס	מאָמענט	Journals/ Newspapers	Journals/ Newspapers	נ. י. | ניו יאָרק | ניו-יאָרק | ניויאָרק	וואַרשע	692	215	פֿאַרווערטס	Der Moment⁩ - ⁨דער מאמענט⁩⁩	ALIGN	ALIGN	2	0.02	0.59	בזשוסטאָווסקי (בריסטאָווסקי) חיים-יאנקל | שווייד, מאַרק [וואָלף-מרדכי]		
ORG-C00103	ORG-C00476	ווילנער טרופּע	זאַסלאַווסקיס טרופּע	Company on Tour	Traveling Company	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ניקאָלאַיעוו	551	456	ווילנער טרופּע	Zaslavsky Troupe	ALIGN	ALIGN	2	0.011	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00103	ORG-C00840_Q01	ווילנער טרופּע	יידישן פֿאָלקס-טעאַטער	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע | פעלדאַפינג	551	541	ווילנער טרופּע	ווילנער יידישן פֿאָלקס-טעאַטער	ALIGN	ALIGN	2	0.011	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00103	ORG-C02022_Q02	ווילנער טרופּע	רוסישע גימנאַזיע	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	קאָוונע	551		ווילנער טרופּע		ALIGN		2	0.011	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00103	ORG-C02734	ווילנער טרופּע	ווילנער העברעאישער גימנאַזיע	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551	1081	ווילנער טרופּע	ווילנער העברעאישער גימנאַזיע	ALIGN	NEW	2	0.011	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00108	ORG-C00476	יידישן אַרטיסטן-פֿאַריין אין פּוילן	זאַסלאַווסקיס טרופּע	Theatre-related Society/ Union	Traveling Company	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	ניקאָלאַיעוו	442	456	Yiddish artists union	Zaslavsky Troupe	ALIGN	ALIGN	2	0.031	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00108	ORG-C00840_Q01	יידישן אַרטיסטן-פֿאַריין אין פּוילן	יידישן פֿאָלקס-טעאַטער	Theatre-related Society/ Union	Theatre	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	ווילנע | פעלדאַפינג	442	541	Yiddish artists union	ווילנער יידישן פֿאָלקס-טעאַטער	ALIGN	ALIGN	2	0.033	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00108	ORG-C02022_Q02	יידישן אַרטיסטן-פֿאַריין אין פּוילן	רוסישע גימנאַזיע	Theatre-related Society/ Union	Education	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	קאָוונע	442		Yiddish artists union		ALIGN		2	0.036	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00108	ORG-C02734	יידישן אַרטיסטן-פֿאַריין אין פּוילן	ווילנער העברעאישער גימנאַזיע	Theatre-related Society/ Union	Education	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	ווילנע	442	1081	Yiddish artists union	ווילנער העברעאישער גימנאַזיע	ALIGN	NEW	2	0.036	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00476	ORG-C00840_Q01	זאַסלאַווסקיס טרופּע	יידישן פֿאָלקס-טעאַטער	Traveling Company	Theatre	ניקאָלאַיעוו	ווילנע | פעלדאַפינג	456	541	Zaslavsky Troupe	ווילנער יידישן פֿאָלקס-טעאַטער	ALIGN	ALIGN	2	0.143	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00476	ORG-C02022_Q02	זאַסלאַווסקיס טרופּע	רוסישע גימנאַזיע	Traveling Company	Education	ניקאָלאַיעוו	קאָוונע	456		Zaslavsky Troupe		ALIGN		2	0.2	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00476	ORG-C02734	זאַסלאַווסקיס טרופּע	ווילנער העברעאישער גימנאַזיע	Traveling Company	Education	ניקאָלאַיעוו	ווילנע	456	1081	Zaslavsky Troupe	ווילנער העברעאישער גימנאַזיע	ALIGN	NEW	2	0.2	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00840_Q01	ORG-C02022_Q02	יידישן פֿאָלקס-טעאַטער	רוסישע גימנאַזיע	Theatre	Education	ווילנע | פעלדאַפינג	קאָוונע	541		ווילנער יידישן פֿאָלקס-טעאַטער		ALIGN		2	0.333	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00840_Q01	ORG-C02734	יידישן פֿאָלקס-טעאַטער	ווילנער העברעאישער גימנאַזיע	Theatre	Education	ווילנע | פעלדאַפינג	ווילנע	541	1081	ווילנער יידישן פֿאָלקס-טעאַטער	ווילנער העברעאישער גימנאַזיע	ALIGN	NEW	2	0.333	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C02022_Q02	ORG-C02734	רוסישע גימנאַזיע	ווילנער העברעאישער גימנאַזיע	Education	Education	קאָוונע	ווילנע		1081		ווילנער העברעאישער גימנאַזיע		NEW	2	1.0	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00106	ORG-C00631_Q01	חברים-טרופּע	צענטראַל-טעאַטער	Traveling Company	Theatre	אָדעס | בוענאָס איירעס | ביאַליסטאָק | וואַרשע | ווילנע | טאָשקענט | לאָדזש | לעמבערג | פּאַריז | פּאָריז | פּראָווינץ	וואַרשע | וואַרשעווער		151		צענטראַל-טעאַטער	DESCRIPTIVE	ALIGN	2	0.029	0.59	קורץ, אַברהם | ראָזען, שמחה		
ORG-C00631_Q01	ORG-C02654_Q01	צענטראַל-טעאַטער	אַרטיסטן-קיך	Theatre	Welfare/Aid organization	וואַרשע | וואַרשעווער	וואַרשע	151		צענטראַל-טעאַטער		ALIGN		2	0.057	0.59	לעווי, זשאַק | קורץ, אַברהם		
ORG-C00103	ORG-C03486	ווילנער טרופּע	ערשטער יידישער אַוונט שול	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551	1114	ווילנער טרופּע	ערשטער יידישער אַוונט שול	ALIGN	NEW	2	0.011	0.59	"מאז""ה,, מרדכי | מאז'ה, (מאַזאָ) מרדכי"		
ORG-C00103	ORG-C03488_Q01	ווילנער טרופּע	מכבי	Company on Tour	Sports/Recreation	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	מילוואַקיי	551	783	ווילנער טרופּע	מכבי (מילוואַקיי)	ALIGN	NEW	2	0.011	0.59	"מאז""ה,, מרדכי | מאז'ה, (מאַזאָ) מרדכי"		
ORG-C03486	ORG-C03488_Q01	ערשטער יידישער אַוונט שול	מכבי	Education	Sports/Recreation	ווילנע	מילוואַקיי	1114	783	ערשטער יידישער אַוונט שול	מכבי (מילוואַקיי)	NEW	NEW	2	0.5	0.59	"מאז""ה,, מרדכי | מאז'ה, (מאַזאָ) מרדכי"		
ORG-C00054	ORG-C00585	פישזאָן	יוליוס אַדלערס טרופּע	Traveling Company	Traveling Company	אָדעס | ווילנע | יעקאַטערינאָסלאָוו | יעקאָטעדינאָסלאָוו | פּעטערבורג | קעשעניעוו | ראָוונע		362	811	"Poale Zion (""Workers of Zion"")"	יוליוס אַדלערס טרופּע	ALIGN	NEW	2	0.043	0.59	זילבערשטייין, שמעון | כריסטעסקאָ פּראָפיראַ קאָנסטאַנטינאָוואַ [קריסטערמאַן]		
