db_a	name_a	name_yid_a	aligns_a	db_b	name_b	name_yid_b	aligns_b	token_set_sim
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	726		דאַנציגער יידישן טעאַטער	1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	733		קולטור-בונד-טעאַטער	1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
319	Lira (as drama society)		1	320	Lira (as drama school)		0	1.000
321	Lit. Dram. Gesellschaft		0	512	"""ייד. דראָמ. ליט. געזעל."""		1	1.000
322	Literarishe Trupe (Literary Troupe)	ליטעראַרישע טרופּע	1	653	ליטעראַרישע געזעלשאַפֿט		1	1.000
325	Littman Troupe	ליטמאַנס טרופּע	2	654	ליטמאַןס טעאַטער		1	1.000
327	M.D. Waxman Troupe		2	429	Vaksman Troupe		2	1.000
356	Pavilion Theatre		1	408	The Pavilion Theatre		0	1.000
363	Progresiv dramatik klub (Progressive Drama Club)		2	699	פּראָגרעסיוו דראַמאַטיק קלוב	פּראָגרעסיוו דראַמאַטיק קלוב	1	1.000
365	Public Theatre (Folks Theatre)		0	410	The Public Theatre		0	1.000
384	Shlifershteyn Troupe		0	835	שליפערשטייןס טרופּע	שליפערשטייןס טרופּע	1	1.000
414	The Vilna Troupe		0	415	The Vilna Troupe (Azro/Alomis branch)		0	1.000
416	The Yiddish Art Theatre (as stable theatre)		3	417	The Yiddish Art Theatre (as company on tour)		3	1.000
416	The Yiddish Art Theatre (as stable theatre)		3	443	Yiddish Art Theatre		0	1.000
416	The Yiddish Art Theatre (as stable theatre)		3	713	יידיש קונסט טעאַטער	יידיש קונסט טעאַטער	1	1.000
417	The Yiddish Art Theatre (as company on tour)		3	443	Yiddish Art Theatre		0	1.000
417	The Yiddish Art Theatre (as company on tour)		3	713	יידיש קונסט טעאַטער	יידיש קונסט טעאַטער	1	1.000
419	The Yiddish Theatre Society		0	446	Yiddish Dramatic Society - דער יידיש דראמגעזעלשאפט	יידיש. דראַמגעזעלשאַפֿט	1	1.000
419	The Yiddish Theatre Society		0	447	Yiddish Theatre Society		0	1.000
443	Yiddish Art Theatre		0	713	יידיש קונסט טעאַטער	יידיש קונסט טעאַטער	1	1.000
446	Yiddish Dramatic Society - דער יידיש דראמגעזעלשאפט	יידיש. דראַמגעזעלשאַפֿט	1	447	Yiddish Theatre Society		0	1.000
473	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם		0	515	קיעווער יידישן מלוכה-טעאַטער		0	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	520	לאָנדייל-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	526	אָדאָן-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	555	קעמי-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	573	ריגער מלוכה-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	638	קאַמעראַל-טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	655	שיקאַגער יידישן טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	658	באַסטאָנער יידישן טעאַטער		1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	726		דאַנציגער יידישן טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	733		קולטור-בונד-טעאַטער	1	1.000
489	בורג-טעאַטער	בורג-טעאַטער	3	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
497	באַלאַגעניידען	באַלאַגעניידען	2	727		באַלאַגעניידען	1	1.000
497	באַלאַגעניידען	באַלאַגעניידען	2	728		באַלאַגעניידען	1	1.000
497	באַלאַגעניידען	באַלאַגעניידען	2	729		באַלאַגעניידען	1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	520	לאָנדייל-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	526	אָדאָן-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	555	קעמי-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	573	ריגער מלוכה-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	638	קאַמעראַל-טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	655	שיקאַגער יידישן טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	658	באַסטאָנער יידישן טעאַטער		1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
