db_id_a	db_id_b	name_a	name_b	name_yi_a	name_yi_b	org_type_a	org_type_b	matched_fields	score	signal	type_match	linked_a	linked_b	suggested_action	suggested_keep	suggested_drop	reviewer_decision	reviewer_notes
189	306	Arbeter Ring (Workmen's Circle)	Kunst-Ring		קונסט-רינג			<surname>ring ~ <surname>ring	1.000	surname_trigram	Y			REVIEW	189	306		
190	670	Arch Street Theatre	14טע סטריט-טעאַטער		14טע סטריט-טעאַטער	Theatre	theatre	<surname>סטריט ~ <surname>סטריט	1.000	surname_trigram	Y		ORG-C06693	REVIEW	670	190		
197	312	Berger Troupe	Leon Berger Troupe	בערגער-טרופּע			Traveling Company	<surname>berger ~ <surname>berger	1.000	surname_trigram	N			REVIEW	197	312		
197	980	Berger Troupe	ליברעסקאָ-בערגער	בערגער-טרופּע	ליברעסקאָבערגער		traveling company	<surname>berger ~ <surname>בערגער	1.000	surname_phonetic	N		ORG-C05531	REVIEW	980	197		
198	1069	Ber Hart troupe	סידני האַרט	בער האַרטס טרופּע	סידני האַרט		traveling company	<surname>הארט ~ <surname>הארט	1.000	surname_trigram	N		ORG-C01719	REVIEW	1069	198		
198	269	Ber Hart troupe	Hart Troupe	בער האַרטס טרופּע	האַרטס טרופּע			<surname>hart ~ <surname>hart	1.000	surname_trigram	Y			REVIEW	198	269		
198	626	Ber Hart troupe	טרופּע פֿון האָרט	בער האַרטס טרופּע			Traveling Company	<surname>הארט ~ <surname>הארט	1.000	surname_trigram	N		ORG-C02054	REVIEW	626	198		
199	309	Berl Bernstein Troupe	Lazar Bernstein Troupe			Traveling Company	Traveling Company	<surname>bernstein ~ <surname>bernstein	1.000	surname_trigram	Y			REVIEW	199	309		
207	1393	Charles Nathanson's Troupe	סאָניאַ נאָטאָנסאָן		סאָניאַ נאָטאָנסאָן	Traveling Company	traveling company	<surname>נאטאנסאנ ~ <surname>נאטאנסאן	1.000	surname_phonetic	Y		ORG-C06793	REVIEW	1393	207		
207	294	Charles Nathanson's Troupe	Julius Nathanson Troupe			Traveling Company	Traveling Company	<surname>נאטאנסאנ ~ <surname>נאטאנסאן	1.000	surname_phonetic	Y		ORG-C00678	REVIEW	294	207		
208	184	Chicago's Drama Society	Amateur Drama Society				Amateur	<surname>drama ~ <surname>drama	1.000	surname_trigram	N	ORG-C07959		REVIEW	208	184		
221	840	Di Fraye Yidishe Folks-Bine	פרייע יידישע פֿאָלקס-בינע - עסטרייך		פרייע יידישע פֿאָלקס-בינע	Theatre	theatre	די פֿרייע יידישע פֿאָלקס-בינע ~ פרייע יידישע פֿאָלקס-בינע	1.000	trigram_full	Y		ORG-C00481_Q03	MERGE	840	221		
232	132	Dramatic union	Union Theatre				Theatre	<surname>יוניאן ~ <surname>יוניאן	1.000	surname_trigram	N			REVIEW	132	232		
232	420	Dramatic union	Tornberg Dramatic Union				Amateur	<surname>dramatic ~ <surname>dramatic	1.000	surname_trigram	N			REVIEW	232	420		
232	445	Dramatic union	Yiddish dramatic school				Education	<surname>dramatic ~ <surname>dramatic	1.000	surname_trigram	N			REVIEW	232	445		
236	1373	Elvings Metropolitan Theatre	מעטראָפּאָליטאָן-טעאַטער		מעטראָפּאָליטאָן-טעאַטער	Theatre	theatre	<surname>מעטראפאליטאן ~ <surname>מעטראפאליטאן	1.000	surname_trigram	Y	ORG-C00770_Q01	ORG-C01438_Q03	REVIEW	236	1373		
236	387	Elvings Metropolitan Theatre	Sincoff's Metropolitan Theatre			Theatre	Theatre	<surname>metropolitan ~ <surname>metropolitan	1.000	surname_trigram	Y	ORG-C00770_Q01		REVIEW	236	387		
236	967	Elvings Metropolitan Theatre	שיקאַגער מעטראָפּאָליטאָן טעאַטער		שיקאַגער מעטראָפּאָליטאָן טעאַטער	Theatre	theatre	<surname>מעטראפאליטאן ~ <surname>מעטראפאליטאן	1.000	surname_trigram	Y	ORG-C00770_Q01	ORG-C02050	REVIEW	236	967		
237	516	Elysium Theater	עליזעום	עליזעום-טעאַטער		Theatre	Theatre	<surname>עליזעום ~ <surname>עליזעום	1.000	surname_trigram	Y		ORG-C00113	REVIEW	516	237		
240	1344	Esther Vaksman Troupe	יעקב וואַקסמאַן		יעקב וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C04589	REVIEW	1344	240		
240	1409	Esther Vaksman Troupe	טרופּע בלומענטאָל-וואַקסמאַן		טרופּע בלומענטאָל-וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C03020	REVIEW	1409	240		
240	241	Esther Vaksman Troupe	Fanny Vaksman Troupe			Traveling Company	Traveling Company	<surname>vaksman ~ <surname>vaksman	1.000	surname_trigram	Y			REVIEW	240	241		
240	429	Esther Vaksman Troupe	Vaksman Troupe			Traveling Company	Traveling Company	<surname>vaksman ~ <surname>vaksman	1.000	surname_trigram	Y		ORG-C01604	REVIEW	429	240		
240	880	Esther Vaksman Troupe	טרופּע פֿון זאַנדבערג-וואַקסמאַן		טרופּע פֿון זאַנדבערג-וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C02852	REVIEW	880	240		
241	1344	Fanny Vaksman Troupe	יעקב וואַקסמאַן		יעקב וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C04589	REVIEW	1344	241		
241	1409	Fanny Vaksman Troupe	טרופּע בלומענטאָל-וואַקסמאַן		טרופּע בלומענטאָל-וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C03020	REVIEW	1409	241		
241	429	Fanny Vaksman Troupe	Vaksman Troupe			Traveling Company	Traveling Company	<surname>vaksman ~ <surname>vaksman	1.000	surname_trigram	Y		ORG-C01604	REVIEW	429	241		
241	880	Fanny Vaksman Troupe	טרופּע פֿון זאַנדבערג-וואַקסמאַן		טרופּע פֿון זאַנדבערג-וואַקסמאַן	Traveling Company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y		ORG-C02852	REVIEW	880	241		
245	1366	Fishzon-Spivakovski Troupe	טרוּפּע קאַמינסקי-ספּיוואַקאָווסקי		טרוּפּע קאַמינסקי-ספּיוואַקאָווסקי	Traveling Company	traveling company	<surname>ספיוואקאווסקי ~ <surname>ספיוואקאווסקי	1.000	surname_trigram	Y	ORG-C04832	ORG-C04038	REVIEW	245	1366		
245	291	Fishzon-Spivakovski Troupe	Jacob Spivakovski Troupe			Traveling Company	Traveling Company	<surname>spivakovski ~ <surname>spivakovski	1.000	surname_trigram	Y	ORG-C04832		REVIEW	245	291		
245	304	Fishzon-Spivakovski Troupe	Krause-Spivakovski Troupe			Traveling Company	Traveling Company	<surname>spivakovski ~ <surname>spivakovski	1.000	surname_trigram	Y	ORG-C04832		REVIEW	245	304		
245	391	Fishzon-Spivakovski Troupe	Spivakovski Troupe			Traveling Company	Traveling Company	<surname>spivakovski ~ <surname>spivakovski	1.000	surname_trigram	Y	ORG-C04832	ORG-C01671	REVIEW	245	391		
245	428	Fishzon-Spivakovski Troupe	Vaksman-Spivakovski Troupe			Traveling Company	Traveling Company	<surname>spivakovski ~ <surname>spivakovski	1.000	surname_trigram	Y	ORG-C04832		REVIEW	245	428		
245	925	Fishzon-Spivakovski Troupe	טרופּע פֿון טאַנצמאָן-ספּיוואָקאָווסקי		טרופּע פֿון טאַנצמאָן-ספּיוואָקאָווסקי	Traveling Company	traveling company	<surname>ספיוואקאווסקי ~ <surname>ספיוואקאווסקי	1.000	surname_trigram	Y	ORG-C04832	ORG-C04765	REVIEW	245	925		
249	692	Forward	Forverts (New York City)	פֿאַרווערטס	פֿאַרווערטס	Journals/ Newspapers	Journals/ Newspapers	פֿאַרווערטס ~ פֿאַרווערטס	1.000	trigram_full	Y			REVIEW	249	692		
249	693	Forward	Forverts (Chicago)	פֿאַרווערטס	פֿאַרווערטס	Journals/ Newspapers	Journals/ Newspapers	פֿאַרווערטס ~ פֿאַרווערטס	1.000	trigram_full	Y			REVIEW	249	693		
249	694	Forward	Forverts (Philadelphia)	פֿאַרווערטס	פֿאַרווערטס	Journals/ Newspapers	Journals/ Newspapers	פֿאַרווערטס ~ פֿאַרווערטס	1.000	trigram_full	Y			REVIEW	249	694		
249	695	Forward	Forverts (Detroit)	פֿאַרווערטס	פֿאַרווערטס	Journals/ Newspapers	Journals/ Newspapers	פֿאַרווערטס ~ פֿאַרווערטס	1.000	trigram_full	Y			REVIEW	249	695		
25	71	יוסף פישער	Yosef Fischer	יוסף פישער				<surname>פישער ~ <surname>פישער	1.000	surname_trigram	Y			REVIEW	25	71		
250	221	Fraye Yidishe Folks-Bine	Di Fraye Yidishe Folks-Bine				Theatre	פֿרייע יידישע פֿאָלקס-בינע ~ די פֿרייע יידישע פֿאָלקס-בינע	1.000	trigram_full	N			REVIEW	221	250		
250	840	Fraye Yidishe Folks-Bine	פרייע יידישע פֿאָלקס-בינע - עסטרייך		פרייע יידישע פֿאָלקס-בינע		theatre	פֿרייע יידישע פֿאָלקס-בינע ~ פרייע יידישע פֿאָלקס-בינע	1.000	trigram_full	N		ORG-C00481_Q03	REVIEW	840	250		
253	394	Gardetski Quartet	Stein Quartet			Musical organization	Musical organization	<surname>quartet ~ <surname>quartet	1.000	surname_trigram	Y			REVIEW	253	394		
254	895	Genfer Troupe	פישזאָן גענפער	גענפערס טרופּע	פישזאָן גענפער		traveling company	<surname>גענפער ~ <surname>גענפער	1.000	surname_trigram	N		ORG-C00136	REVIEW	895	254		
255	610	George Beker Troupe	בעקערס טרופּע			Traveling Company	Traveling Company	<surname>beker ~ <surname>בעקער	1.000	surname_phonetic	Y		ORG-C02431	REVIEW	610	255		
