db_id	name	original_type	canonical_type	changed
392	Spivakovsky and Sh. Krause Troupe	Traveling Company	Traveling Company	
393	Standard Theatre	Theatre	Theatre	
394	Stein Quartet	Musical organization	Musical organization	
395	Stramer Troupe			
396	Synagogue chorus	Musical organization	Musical organization	
397	teater gesselshaft	Theatre	Theatre	
398	Teater un kunst			
399	Teatr i Iskusstvo			
400	theater Solovtsov	Theatre	Theatre	
401	Theatre Royal	Theatre	Theatre	
402	The Gayety Theatre	Theatre	Theatre	
403	The Hebrew Actors' Union (HAU)			
404	The Hebrew Dramatic Club	Theatre	Theatre	
405	The Jewish National Workers' Alliance (Farband-Labor Zionist Order)			
406	The Lyceum Theatre	Theatre	Theatre	
407	The Monument-National Theatre	Theatre	Theatre	
408	The Pavilion Theatre	Theatre	Theatre	
409	The Peoples Theatre Detroit	Theatre	Theatre	
410	The Public Theatre	Theatre	Theatre	
411	The Royal Danish Theatre school	Education	Education	
412	The Russian State Theatre	Theatre	Theatre	
413	The St.Petersburg State Conservatory	Education	Education	
414	The Vilna Troupe	Company on Tour	Company on Tour	
415	The Vilna Troupe (Azro/Alomis branch)	Company on Tour	Company on Tour	
416	The Yiddish Art Theatre (as stable theatre)	Theatre	Theatre	
417	The Yiddish Art Theatre (as company on tour)	Company on Tour	Company on Tour	
418	The Yiddish Dramatic Amateur Circle	Amateur	Amateur	
419	The Yiddish Theatre Society	Theatre	Theatre	
420	Tornberg Dramatic Union	Amateur	Amateur	
421	Treitler Troupe			
423	Tshistogorski troupe	Traveling Company	Traveling Company	
424	Tsimerman Theatre	Traveling Company	Traveling Company	
425	Unzer Leben⁩ - ⁨אונזער לעבען			
426	Unzer teater			
427	Unzer vinkl (Our Corner)	Company on Tour	Company on Tour	
428	Vaksman-Spivakovski Troupe	Traveling Company	Traveling Company	
429	Vaksman Troupe	Traveling Company	Traveling Company	
430	Varshaver tageblat			
431	Vaynshtoks, Vaynshtayns, and Goldschmidt Troupe	Traveling Company	Traveling Company	
432	Victoria Theatre	Theatre	Theatre	
433	Vikt	Company on Tour	Company on Tour	
434	Vilna Yiddish State Theatre	Company on Tour	Company on Tour	
435	Vilner Operetta	Traveling Company	Traveling Company	
436	Vine Court	Kleinkunst	Kleinkunst	
437	Voskhod			
438	Weinstock-Schorr Troupe	Traveling Company	Traveling Company	
439	Wolf Litvak’s yard	Kleinkunst	Kleinkunst	
440	Wolgeschaffen Troupe	Traveling Company	Traveling Company	
441	Wonderland Theatre	Theatre	Theatre	
442	Yiddish artists union			
443	Yiddish Art Theatre	Theatre	Theatre	
444	Yiddish Dramatic Circle	Amateur	Amateur	
445	Yiddish dramatic school	Education	Education	
446	Yiddish Dramatic Society - דער יידיש דראמגעזעלשאפט			
447	Yiddish Theatre Society			
448	Yidishe Natsionale Radikale Shul	Education	Education	
449	Yidishes ṭogblaṭ⁩ - ⁨יידישעס טאגעבלאט⁩⁩	Journals/ Newspapers	Journals/ Newspapers	
450	Yidishn folks teater (Vilnius)	Theatre	Theatre	
451	Yosef Goldshmidt Troupe	Traveling Company	Traveling Company	
