db_id	db_hebrew	db_english	name_in_volume	additional_appearance	notes	where_to_fix	correct_form	gender	external_source_id	external_source	name_variants
1250	יאַשאַ בּעלצער (יעקב בּעלפער)	Yasha Belzer	בעלצער יאָשע [יעקב בעלפער]					Male	yt/lex/B/belzer-yasha.htm	Zylbercweig Leksikon fun Yidishn Teater	
1253	חיים בּענדעל	Chaim Bendel	בענדעל, חיים					Male	yt/lex/B/bendel-chaim.htm	Zylbercweig Leksikon fun Yidishn Teater	
1255		Tsvi Ben-Menachem	צבי בן-מנחם					Male	yt/lex/B/ben-menachem-tsvi.htm	Zylbercweig Leksikon fun Yidishn Teater	
1257		Ber	בערגער ראַשעל					Male	yt/lex/B/ber(e)nstein-sh.htm	Zylbercweig Leksikon fun Yidishn Teater	
1260	מ. בערענזאָן	M. Berenson	בערענזאָן, מ.					Male	yt/lex/B/berenson-m.htm	Zylbercweig Leksikon fun Yidishn Teater	
1265	ראַשעל בּערגער	Rachelle Berger	בערגער ראָשעל					Female	yt/lex/B/berger-rachelle.htm	Zylbercweig Leksikon fun Yidishn Teater	
1268	יעקב בערגאָלסקי ((גאָלדבערג))	Yakov Bergolski	בערגאָלסקי, יעקב (יאַשאַ)					Male	moyt/lex/B/bergolski-yakov-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1272	יחיאל בּערקאָוויטש	Yekhiel Berkovitsh	בערקאָוויטש, יחיאָל		לבדוק איות בטרנסקריבוס	תיקנתי איות בטרנסקריבוס	בערקאָוויטש, יחיאל	Male	yt/lex/B/berkovitsh-yekhiel.htm	Zylbercweig Leksikon fun Yidishn Teater	
1277	אַדאָלף בּערמאַן	Adolf Berman	בערמאַן, אַדאָלף					Male	moyt/lex/B/berman-adolf-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1281	ברוך בערנאַרד (גרינבערג)	Baruch Bernard	בערנאָרד, ברוך [ברוך גרינבערג]					Male	yt/lex/B/bernard-baruch.htm	Zylbercweig Leksikon fun Yidishn Teater	
1291	חיים-יענקל בזשוסטאָווסקי (בריסטאָווסקי)	Khayim Yankl Bezhustovski	בזשוסטאָווסקי (בריסטאָווסקי) חיים-יאנקל					Male	moyt/lex/B/bezhustovski-khayim-yankl-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1300	אַלעקסאַנדער בידעסקא ([וואנדעלרגאלד])	Alexander Bidesco	בידעסקאָ, אַלעקסאַנדער [וואָנדערגאַלד]		לבדוק בטרנסקריבוס	תיקנתי איות בטרנסקריבוס	בידעסקאָ, אַלעקסאַנדער [וואַנדערגאָלד]	Male	yt/lex/B/bidesco-alexander.htm	Zylbercweig Leksikon fun Yidishn Teater	
1302	היים ביילאָגלאָווסקי (ביעלווסקי, הום בעלקין דוד)	Chaim Bieloglovski	ביעלאָגלאָווסקי, חיים [דוד בעלקין]		לבדוק בטרנסקריבוס	בדאטאבייס	ביעלאָגלאָווסקי, חיים [דוד בעלקין]	Male	yt/lex/B/bieloglovski-chaim.htm	Zylbercweig Leksikon fun Yidishn Teater	
1304	מרדכי בעראָזקין	Mordechai Bierozkin	ביעראָזקין, מרדכי		לבדוק בטרנסקריבוס	בדאטאבייס	ביעראָזקין, מרדכי	Male	yt/lex/B/bierozkin-mordechai.htm	Zylbercweig Leksikon fun Yidishn Teater	
1310	ישראל בירנבוים (ישׂראל-איסר באַרנבוים)	Israel Birnbaum	בירנבוים ישראל [ישראל-איסר באָרנבוים]					Male	yt/lex/B/birnbaum-israel.htm	Zylbercweig Leksikon fun Yidishn Teater	
1319	יעטאַ בלאַק	Yetta Black	בלאַק יעטאַ		כפילות			Female	yt/lex/B/black-yetta.htm	Zylbercweig Leksikon fun Yidishn Teater	
1324	יהודה בלייך	Yehuda Bleich	בלייך, יהודה					Male	yt/lex/B/bleich-yehuda-V1.htm	Zylbercweig Leksikon fun Yidishn Teater	
1332	שבתי בליאַכער (בּליאַכאַר)	Shabtai Bliacher	בליאַכער, שבתי		כפילות			Male	yt/lex/B/bliacher-shabtai-V1.htm	Zylbercweig Leksikon fun Yidishn Teater	
1335	יעטע בלאָק[ך]	Yetta Block	בלאָק[ך] יעטע		כפילות			Female	yt/lex/B/block-yetta.htm	Zylbercweig Leksikon fun Yidishn Teater	
1344	מאקס בּלומענפעלד	Max Blumenfeld	בלומענפעלד מאַקס					Male	yt/lex/B/blumenfeld-max.htm	Zylbercweig Leksikon fun Yidishn Teater	
1348		Sam Blumstein	בלומשטיין, סעם					Male	yt/lex/B/blumstein-sam.htm	Zylbercweig Leksikon fun Yidishn Teater	
1351		Zigmunt Bolk	לא מצאנו					Male	moyt/lex/B/bolk-zigmunt-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
