a_xml_id	b_xml_id	decision	reviewer	reviewed_at	notes	a_heading	b_heading	composite	batch
facs_145_tr_1740521066	facs_247_tr_1747928913	different	Sinai	2026-05-18T11:48:44Z		גאָטליב, קלאַראַ [גערשאַנאָוויטש]	קאָמפּאַנעעץ, לאה [גאָטליב]	0.6	Pseudonym candidates (208)
facs_358_tr_1741260404	facs_405_tr_1755029979	different	Sinai	2026-05-18T11:48:46Z		וויינבערג, סאלטשע [שרה ליכט]	ליבערט, שרה ל. [לאה]	0.59	Pseudonym candidates (208)
facs_148_r	facs_24_tr_1756894820	different	Sinai	2026-05-18T11:48:48Z		ליליען, איזידאָר	צוקערמאַן, איזידאָר	0.571	Pseudonym candidates (208)
facs_205_tr_1741260267	facs_365_tr_1744366824	different	Sinai	2026-05-18T11:48:50Z		גאָלדשטיין, דזשאָן ס. [יעקב]	סענדלער יעקב-קאָפּל	0.55	Pseudonym candidates (208)
facs_305_tr_1744365748	facs_603_r	different	Sinai	2026-05-18T11:48:51Z		נאָזשיק, יצחק	יצחק און שרה רעכטשייד (רעכטצייט)	0.55	Pseudonym candidates (208)
facs_99_tr_1740520997	facs_266_tr_1741260236	different	Sinai	2026-05-18T11:48:53Z		בירנבוים ישראל [ישראל-איסר באָרנבוים]	גערטלער סעם [ישראל]	0.55	Pseudonym candidates (208)
facs_291_tr_1741260447	facs_72_tr_1744131378	different	Sinai	2026-05-18T11:48:54Z		דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש]	יאָקובאָוויטש, היימאַן (חיים-נתן)	0.55	Pseudonym candidates (208)
facs_21_tr_1740515222	facs_81_r_7	different	Sinai	2026-05-18T11:48:56Z		אַנעד, סעם [שלמה]	באַרדיזשאַנער שלמה	0.65	Pseudonym candidates (208)
facs_48_tr_1740521125	facs_204_tr_1741260317	different	Sinai	2026-05-18T11:48:58Z		אלמי, א. [אליהו חיים שעפּס]	גאָלדקנאָפּ, אַברהם דר.	0.6	Pseudonym candidates (208)
facs_60_tr_1740521080	facs_61_tr_1740521159	different	Sinai	2026-05-18T11:49:01Z		אַקסעלראָד, אַנעטאַ [ברענער]	אַקסעלראָד רחל [קאָהוט]	0.58	Pseudonym candidates (208)
facs_108_tr_1740521024	facs_294_tr_1741260445	different	Sinai	2026-05-18T11:49:02Z		בן-אלי [מאטיאס גרינבערג]	דיימאַנדשטיין, באָריס [בערל דוואָרקין]	0.55	Pseudonym candidates (208)
