source_sheet	volume	xml_id	heading	index_unmatched	extras
volume 7 align	7.0	facs_42_tr_1756359784	אַקסעלראָד, מאיר		
volume 7 align	7.0	facs_16_r_2	אַרסקאַ, מאַריאַ [מרים-רחל]		
volume 7 align	7.0	facs_71_r_1	בוכבינדער [?]		
volume 7 align	7.0	facs_77_tr_1757228911	בורשטיין, ה.		
volume 7 align	7.0	facs_11_r_2	ביעלאָגלאָווסקי, חיים [דוד בעלקין]		
volume 7 align	7.0	facs_81_tr_1757228905	ביעראָזקין, מרדכי		
volume 7 align	7.0	facs_63_r_4	בעקער, סאַשאַ		
volume 7 align	7.0	facs_41_r	בעקער, ראָזאַ [זילבערט]		
volume 7 align	7.0	facs_12_tr_1756389600	בערנאַס, י.		
volume 7 align	7.0	facs_71_r	בערנאָרד, ברוך [ברוך גרינבערג]		
volume 7 align	7.0	facs_11_tr_1756280381	בערענזאָן, מ.		
volume 7 align	7.0	facs_73_r_4	בראָדין, מאַקסיס [מאָקס בראָדסקי]		
volume 7 align	7.0	facs_85_tr_1757228900	גאָטליעב, לעאָן		
volume 7 align	7.0	facs_57_tr_1756359815	גאָלדבערג, דיינע		
volume 7 align	7.0	facs_106_tr_1757328790	גאָלמאַן, יאַנקעוו		
volume 7 align	7.0	facs_18_tr_1756799204	גוזיק, יעקב		
volume 7 align	7.0	facs_38_r_4	גוטמאָן ישעיה		
volume 7 align	7.0	facs_53_tr_1756359804	גויכבערג ישראל		
volume 7 align	7.0	facs_29_tr_1756359803	גליקמאַן, רעניאַ (רבקה)		
volume 7 align	7.0	facs_44_tr_1756359784	געזעלשאַפֿטלעכער יידישער טעאַטער אין דעטראָיט		
volume 7 align	7.0	facs_78_r_1	דיאַמאַנט, שלמה		
volume 7 align	7.0	facs_71_tr_1757228899	האָפענבערג, הערי		
volume 7 align	7.0	facs_34_r_4	האַרטמאַן, קאָרל, דר.		
volume 7 align	7.0	facs_54_tr_1756359768	וואָלקענשטיין, דוד		
volume 7 align	7.0	facs_62_tr_1756359788	וויינטרויב, סאַלי		
volume 7 align	7.0	facs_62_tr_1756359785	וויינער, ברכה		
volume 7 align	7.0	facs_48_tr_1756359786	וויינער, העלענאַ		
volume 7 align	7.0	facs_62_tr_1756359786	וויינשטיין, טשאַרלז		
volume 7 align	7.0	facs_48_tr_1756359790	וויינשעלבוים, יוסף		
volume 7 align	7.0	facs_48_tr_1756359787	ווייס, ווילהעלם		
volume 7 align	7.0	facs_46_r_2	וועריטע, ס. [ס. ווייסבלאַט]		
volume 7 align	7.0	facs_42_tr_1756359776	זאָנשיין, יעקב		
volume 7 align	7.0	facs_105_r_2	זאַסלאַווסקי, פֿאי		
volume 7 align	7.0	facs_107_tr_1757329749	זיסמאַן, וועראַ		
volume 7 align	7.0	facs_79_tr_1757228888	זיסער, יצחק		
volume 7 align	7.0	facs_74_r_3	זלאַטין, זעלדע [הילדאַ שוואַרץ]		
volume 7 align	7.0	facs_19_r_7	זשיטניצקי, ל. [פּנחס-אַליעזר]		
