a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_102_tr_1753681953	facs_176_tr_1747825145	different	db_contradiction	3007	1212	סאָלאָמאָן, אַסתר	באַדאַנעס איידא, דר.
facs_102_tr_1753681953	facs_180_tr_1736588912	different	db_contradiction	3007	3504	סאָלאָמאָן, אַסתר	גרובער, אסתר
facs_102_tr_1753681953	facs_203_tr_1747929008	different	db_contradiction	3007	817	סאָלאָמאָן, אַסתר	פֿיינמאַן, דיינע
facs_102_tr_1753681953	facs_272_tr_1739221128	different	db_contradiction	3007	1229	סאָלאָמאָן, אַסתר	באַרסקאַ-פֿישער, ליזאַ
facs_102_tr_1753681953	facs_274_tr_1754998433	different	db_contradiction	3007	736	סאָלאָמאָן, אַסתר	שעהנגאָלד, קלאַראַ
facs_102_tr_1753681953	facs_300_tr_1747928891	different	db_contradiction	3007	3610	סאָלאָמאָן, אַסתר	קאָמינסקי, אַסתר-רחל [האַלפערן]
facs_102_tr_1753681953	facs_322_tr_1754998436	different	db_contradiction	3007	2851	סאָלאָמאָן, אַסתר	שנייער, רע[כיענע רייזל פּעימאַן]
facs_102_tr_1753681953	facs_34_r_1	different	db_contradiction	3007	2745	סאָלאָמאָן, אַסתר	ריינהאָרט פעני [זלאטע-פֿייגע בראון]
facs_102_tr_1753681953	facs_354_tr_1739222151	different	db_contradiction	3007	1824	סאָלאָמאָן, אַסתר	גאָלדענבערג, אַסתר
facs_102_tr_1753681953	facs_386_tr_1755029936	different	db_contradiction	3007	2718	סאָלאָמאָן, אַסתר	ראָבינער, אסתר
facs_102_tr_1753681953	facs_419_tr_1747930126	different	db_contradiction	3007	2641	סאָלאָמאָן, אַסתר	פּערלמאַן, אַסתר
facs_102_tr_1753681953	facs_423_tr_1747930553	different	db_contradiction	3007	2895	סאָלאָמאָן, אַסתר	שאַפּיראָ, אַננאַ (עני)
facs_102_tr_1753681953	facs_44_tr_1747746152	different	db_contradiction	3007	2908	סאָלאָמאָן, אַסתר	שעפנער, אַסתר
facs_102_tr_1753681953	facs_454_tr_1747930319	different	db_contradiction	3007	3611	סאָלאָמאָן, אַסתר	שמולעוויטש, שלמה
facs_102_tr_1753681953	facs_58_r_23	different	db_contradiction	3007	2860	סאָלאָמאָן, אַסתר	שוואַרץ פעני [גלאַזער, גרינבערג]
facs_102_tr_1753681953	facs_89_tr_1753938266	different	db_contradiction	3007	1706	סאָלאָמאָן, אַסתר	פֿרידמאַן, ראָזע
facs_102_tr_1753681953	facs_92_r_1	different	db_contradiction	3007	723	סאָלאָמאָן, אַסתר	קאַרפּ, סאָפיע
facs_103_tr_1733832686	facs_115_tr_1733832744	different	db_contradiction	3569	1878	שליט, געניאַ	גאָטליב, העלענאַ [שלאַגמאַן]
facs_103_tr_1733832686	facs_144_tr_1747825163	different	db_contradiction	3569	3782	שליט, געניאַ	ראָזען, לאה
facs_103_tr_1733832686	facs_354_tr_1739222151	different	db_contradiction	3569	1824	שליט, געניאַ	גאָלדענבערג, אַסתר
facs_103_tr_1733832686	facs_36_r_2	different	db_contradiction	3569	3048	שליט, געניאַ	טאַליני, נינאַ [ווינאָקור]
facs_103_tr_1733832686	facs_557_tr_1739222011	different	db_contradiction	3569	1098	שליט, געניאַ	אַבּעלמאַן, ציפּע (צפּורה)
facs_103_tr_1733832686	facs_592_tr_1739221199	different	db_contradiction	3569	2894	שליט, געניאַ	שאַפּיראָ, געניאַ
facs_103_tr_1733832686	facs_605_tr_1747930533	different	db_contradiction	3569	1737	שליט, געניאַ	געלבער, געניאַ
facs_103_tr_1733832686	facs_68_tr_1756359775	different	db_contradiction	3569	2677	שליט, געניאַ	פּאָלינאָוואָ, [?]
facs_103_tr_1740521102	facs_132_tr_1740520957	different	db_contradiction	1337	2510	בלאַשטיין, הירש	משה מרדכי
