attestation_id,source_corpus,source_record_id,org_db_id,source_field,context,source_value,source_value_script,link_status,qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,maaty_qid,maaty_qid_conflict,rejected_qid,relink_source,suggested_qid,suggested_english,is_descriptor,review_flags,link_method
P-1-facs_283_tr_1741260239#place#1,person,1-facs_283_tr_1741260239,,place,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_294_tr_1741260432#place#1,person,1-facs_294_tr_1741260432,,place,burial,וואַשינגטאָן בית-עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_294_tr_1741260438#province#1,person,1-facs_294_tr_1741260438,,province,burial,ניו יאָרק,hebrew,needs_review,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,province_role_mismatch,
P-1-facs_298_tr_1741260461#place#1,person,1-facs_298_tr_1741260461,,place,burial,וואַרשע,hebrew,linked,Q270,Warsaw,ווארשע,"city with powiat rights in Poland, city, seat of government, big city, tourist destination, largest city, administrative territorial entity, metropolis, national capital",settlement,953,Warsaw (Poland),ורשה (פולין),52.230000,21.011111,,,,,,,,,
P-1-facs_304_tr_1741260480#place#1,person,1-facs_304_tr_1741260480,,place,burial,בית עולם פֿון די אידישע טעאַטריקל עליינס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-1-facs_311_tr_1741260476#place#1,person,1-facs_311_tr_1741260476,,place,burial,הר-הכרמל בית-עולם,hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_319_r_1#place#1,person,1-facs_319_r_1,,place,burial,וואַשיינגטאָן בית-עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_332_tr_1741260395#country#1,person,1-facs_332_tr_1741260395,,country,burial,אַמעריקע,hebrew,linked,Q30,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,6421,United States,ארצות הברית,39.828175,-98.5795,,,,,,,,,
P-1-facs_345_r_10#province#1,person,1-facs_345_r_10,,province,burial,פילאַדעלפיע,hebrew,needs_review,Q1345,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),39.952778,-75.163611,,,,,,,,province_role_mismatch,
P-1-facs_361_r_9#place#1,person,1-facs_361_r_9,,place,burial,שיקאָגאָ,hebrew,linked,Q1297,Chicago,שיקאגא,"city of Illinois, global city, big city",settlement,282,Chicago (Ill.),שיקגו (אילינוי),41.881944,-87.627778,,,,,,,,,
