current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Burkivtsi (U),Burkovtsy (R),,,eastern Ukraine,49° 53',28° 3',55,SW,Zhytomyr,/BE'RKOVITs/,־־,בערקאָוויץ
Burshtyn (U),Burshtyn (R),Bursztyn (Demianów?) (P),,east Galicia,49° 16',24° 38',35,N,Ivano-Frankivs'k,/BURShTI:'N/,נתן מעלצער,בורשטין
Bus'k (U),Busk (R),Busk (P),,east Galicia,49° 58',24° 38',35,ENE,L'viv,/BISK/,--,ביסק
Bushtyno (U),Bushtyna (R),Bustín? (Cz),Bustyaháza (H),Transcarpathia,48° 3',23° 28',70,SE,Mukacheve,/BI'ShTENE/,---,בישטענע
Buzhanka (U),Buzhanka (R),,,eastern Ukraine,49° 15',30° 44',90,WSW,Cherkasy,/BU'ZhINKE/,־־,בוזשינקע
Byshiv (U),Byshev (R),,,eastern Ukraine,50° 16',29° 53',35,WSW,Kyiv,/BIShEV/,־־,בישעוו
Bystrytsya (U),Bistritsa? (R),Volhovice? (Cz),Repede (H),Transcarpathia,48° 28',22° 50',5,ENE,Mukacheve,/VELKhOVITs/,--,וועלכאָוויץ
Chechel'nyk (U),Chechel'nik (R),,,eastern Ukraine,48° 13',29° 22',35,NW,Balta,/TShETShELNIK/,מאיר פּערקיס,טשעטשעלניק
Chemerivtsi (U),Chemerovtsy (R),,,eastern Ukraine,49° 0',26° 22',60,SW,Khmel'nyts'kyy,/TShIMEROVITs/,"עזריאל יאַנאָווער, יוסף שוסטער",טשימעראָוויץ
Chemerpil' (U),"Chemirpol', Chemerpol' (R)",,,eastern Ukraine,48° 9',30° 8',40,NE,Balta,/TShEMIRPOLy/ (stress?),־־,טשעמירפּאָל
Cheremoshne (U),Cheremoshnya (R),,,eastern Ukraine,48° 57',28° 25',30,S,Vinnytsya,/TShEREMOShNE/,־־,טשערעמאָשנע
Cherepkivtsi (U),Cherepkovtsy (R),Vadu(l) Siretului? Cerepcăuţi? (Rm),,north Bukovina,48° 0',25° 58',25,S,Chernivtsi,/TShERE'PKEVITs/,־־,טשערעפּקעוויץ
Cherkasy (U),Cherkassy (R),,,eastern Ukraine,49° 26',32° 4',,,,/TShERKA'S/,"משה ליטוואַקאָוו, יוסף מענדעלסאָן",טשערקאַס
Chernelytsya (U),Chernelitsa (R),Czernelica (P),,east Galicia,48° 49',25° 26',50,ESE,Ivano-Frankivs'k,/TShERNELITsE/,־־,טשערנעליצע
Chernihiv (U),Chernigov (R),,,eastern Ukraine,51° 30',31° 18',,,,/TsERNIEV/,"יאָסל בוכבינדער, דאָרע כײַקין, מאיר מרגליות, אַלטער עסעלין, משה פֿרייליכאָוו, מנחם־מע??נדל ציפּין, יהודה־לייב קאַצענעלסאָן",טשערניִעוו
Chernivtsi (U),Chernevtsy (R),,,eastern Ukraine,48° 31',28° 7',25,ENE,Mohyliv,/KLEyN-TShE'RNEVITs/,־־,קליין־טשערנעוויץ
Chernivtsi (U),Chernovtsy (R),Cernăuţi (Rm),Czernowitz (G),north Bukovina,48° 18',25° 56',,,,/TShE'RNEVITs/,"שלום אַדלער־רודל, ברכה בורשטיין, יונה גרובער, יעקבֿ דערמער, לייב דרוקער, נאָרבערט האָראָוויץ, זיגמונד האַרט, נטע העלפֿער (נטע מאַנגער), רות ווײַס, איציק מאַנגער, שאָול סאָקאַל, מאיר עבנער (אבהר?), יעקבֿ צויזמער, אַבא ריבער, איזיו שערף, הירש־אַבֿרהם שטאָלפּער, סימעלע שנײַדער, מרדכי שעכטער","טשערנעוויץ, טשערנאָוויץ"
Chernyakhiv (U),Chernyakhov (R),,,eastern Ukraine,50° 27',28° 40',15,N,Zhytomyr?,/TShE'RNIKhEV/,"בוזי אָליעווסקי, יאָסל בוכבינדער, מ(שה) גערשענזאָן, יצחק נוסינאָוו, מאָטל קיפּער, גילה רײַזבערג־גרינבערג",טשערניכעוו
Chernyn (U),Chernin (R),,,eastern Ukraine,49° 34',30° 22',85,SSW,Kyiv,/TShERNIN/ (stress?),אַהרן־אַבֿרהם קאַצעוו,טשערנין
Chervone (U),Chervon(n)oye (R),,,eastern Ukraine,49° 58',28° 52',35,SSE,Zhytomyr,/TShERVONE/,־־,טשערוואָנע
Chervonoarmiys'k (U),Chervonoarmeysk (R),Pulin? (R),,eastern Ukraine,50° 28',28° 16',25,NW,Zhytomyr,/PULIN/,־־,פּולין
Chervonohrad (U),Chervonograd (R),Krystynopol (P),,east Galicia,50° 23',24° 14',55,NNE,L'viv,/KRISNIPOLyE/,"אימ""ן, מאיר־צבֿי־הירש זאַכמאַן, רחל קראַמף",קריסניפּאָליע
