current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Boryslav (U),Borislav (R),Borysław (P),,east Galicia,49° 17',23° 25',70,SW,L'viv,/BO'RISLEV/,"ט. אַדלער, מיכל בערקאָוויטש, משה גראָס, שמואל גרייץ, אַדאָלף העלד, יעקבֿ עגיט",באָריסלעוו,Ukraine,49.2833,23.4167,Ukraine,49.2833,23.4167
Boryspil' (U),Borispol' (R),,,eastern Ukraine,50° 21',30° 57',20,ESE,Kyiv,/BERIShPOLyE/?,אַבא בראַסלאַווסקי,בערישפּאָליע?,Ukraine,50.3500,30.9500,Ukraine,50.3500,30.9500
Borzna (U),Borzna (R),,,eastern Ukraine,51° 15',32° 26',80,ESE,Chernihiv,/BORZNE/,־־,באָרזנע,Ukraine,51.2500,32.4333,Ukraine,51.2500,32.4333
Boyany (U),Boyany (R),Boiani? (Rm),,north Bukovina,48° 17',26° 8',10,E,Chernivtsi,/B(E)YA'N/,־־,"ב(ע)יאַן, באָיאַן",Ukraine,48.2833,26.1333,Ukraine,48.2833,26.1333
Boyarka (U),Boyarka (R),,,eastern Ukraine,50° 19',30° 19',10,SW,Kyiv,"/BO'YERKE/, /BO'YBERIK/?",יעקבֿ גרינפֿעלד,"בויערקע, בויבעריק?",Ukraine,50.3167,30.3167,Ukraine,50.3167,30.3167
Bratolyubivka (U),Bratolyubovka (R),,,eastern Ukraine,48° 13',32° 58',55,SE,Kirovohrad?,/BRATOLU'BEFKE/?,־־,בראַטאָלובעווקע?,Ukraine,48.2167,32.9667,Ukraine,48.2167,32.9667
Brats'ke (U),? (R),,,eastern Ukraine,48° 17',33° 10',65,SE,Kirovohrad?,/BRA'?TsKOyE/,־־,בראַטסקאָיע?,Ukraine,48.2833,33.1667,Ukraine,48.2833,33.1667
Bratslav (U),Bratslav (R),,,eastern Ukraine,48° 50',28° 57',50,SE,Vinnytsya,/BROSLEV/ [the widespread spelling /BRESLOV/ is an error!],בערל כאַריטאָנסקי,בראָסלעוו,Ukraine,48.8333,28.9500,Ukraine,48.8333,28.9500
Brayiliv (U),Brailov (R),,,eastern Ukraine,49° 6',28° 10',15,SW,Vinnytsya,/BRALEV/,־־,בראַלעוו,Ukraine,49.1000,28.1667,Ukraine,49.1000,28.1667
Brid (U),Brod? (R),Brod? (Cz),Boród (H),Transcarpathia,48° 21',23° 01',20,SE,Mukacheve,/BROD/,---,בראָד,Ukraine,48.3500,23.0167,Ukraine,48.3500,23.0167
Brody (U),Brody (R),Brody (P),Brody (R),east Galicia,50° 5',25° 9',75,ENE,L'viv,/BROD/,"יעקבֿ־שמואל ביק, בערל בראָדער, אַבא־יוסף זוסמאַן, מענדל זינגער, שאָול חיות, אַריה טאַרטאַקאָווער, אַלפֿרעד לאַנדוי, דבֿ סדן??, מרדכי סוכאָסטאַווער, ישׂראל פֿאָגעל",בראָד,Ukraine,50.0833,25.1500,Ukraine,50.0833,25.1500
Bron'ka (U),Bron'ka (R),Suchá-Broňka? (Cz),Szuhabaranka (H),Transcarpathia,48° 25',23° 16',40,ESE,Mukacheve,/BRONyKE/,---,בראָנקע,Ukraine,48.4167,23.2667,Ukraine,48.4167,23.2667
Bronivka (U),? (R),,,eastern Ukraine,49° 27',26° 27',35,W,Khmel'nyts'kyy,/BRO'NyEFKE/,־־,בראָניעווקע,Ukraine,49.4500,26.4500,Ukraine,49.4500,26.4500
Broshniv-Osada (U),Broshnev-Osada (R),Broszniów (P),,east Galicia,48° 59',24° 12',30,WNW,Ivano-Frankivs'k,/KRE'KhEVITs/? /BROShNyEV/?,־־,קרעכעוויץ? בראָשניעוו?,Ukraine,48.9833,24.2000,Ukraine,48.9833,24.2000
