qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q1747451,Valdgeym,,,settlement,,,,,,2,1,1,0,province;settlements,1,וואלדהיים,org;person,wikidata
Q1748,Copenhagen,קאפנהאגן,"largest city, cycling city, city, big city, national capital",settlement,390,Copenhagen (Denmark),קופנהגן (דנמרק),55.676111,12.568889,6,1,5,0,place;settlements,2,קאָפּענהאַגען;קאָפּענהאָגן,org;person,wikidata;kima
Q174994,Bessarabia,בעסאראביע,"historical region, Ukrainian historical regions, interfluve",province,1775,Bessarabia (Moldova and Ukraine),בסרביה (מולדובה-אוקראינה),46.833333333333,29.0,91,86,5,0,place;province;settlements;venues,6,בּעסאַראַבּיע;בעסאַראַביע;בעסאַראָביע;בעסאַראביע;בעסאָראַביע;בעסאָראָביע,org;person,wikidata;kima
Q175,São Paulo,,federative unit of Brazil,other,,,,,,1,1,0,1,place,1,סט. פאַולאָ,person,wikidata
Q175452,Novocherkassk,,"big city, city or town",settlement,9081,Novocherkassk (Russia),נובוצ'רקוסק (רוסיה),,,1,1,0,0,place,1,נאָוואָטשערקאס,person,wikidata;kima
Q1770,Tallinn (Estonia),,,settlement,7985,Tallinn (Estonia),טאלין (אסטוניה),59.437222222222,24.745,1,0,1,0,settlements,1,רעוועל,org,wikidata;kima
Q1773,Riga,ריגע,"state city of Latvia, Hanseatic city, big city, city under state jurisdiction in Latvia",settlement,60,Riga (Latvia),ריגה (לטביה),56.947500,24.106944,86,21,65,0,place;province;settlements;venues,2,ריגע;ריגער,org;person,wikidata;kima
Q1780,Bratislava (Slovakia),,,settlement,574,Bratislava (Slovakia),ברטיסלבה (סלובקיה),48.144722222222,17.112777777778,1,0,1,0,settlements,1,פּרעסבורג,org,wikidata;kima
Q178090,Partizansk,,city or town,settlement,,,,,,1,1,0,1,place,1,פעאָדאַסיע,person,wikidata
Q1781,Budapest,בודאפעשט,"town in Hungary, enclave, largest city, national capital",settlement,513,Budapest (Hungary),בודפסט (הונגריה),47.498333,19.040833,23,6,17,1,place;settlements,5,בודאַפּעסט;בודאַפּעשט;בודאַפעסט;בודאָפּעסט;בודאפּעסט,org;person,wikidata;kima
Q178855,Botoșani,באטאשאן,"municipality of Romania, capital of county in Romania, big city",settlement,683,Botosani (Romania),בוטושן (רומניה),47.748611,26.669444,12,10,2,0,place;settlements,7,באַטאַשאַן;באַטאָשאַן;באַטאָשאָן;באָטאַשאַן;באָטאַשאן;באָטאָשאַן;באָטאָשאן,org;person,wikidata;kima
Q1792,Gdańsk,דאנציג,"big city, port city, Hanseatic city, city with powiat rights in Poland",settlement,920,Gdańsk (Poland),גדנסק (פולין),54.348291,18.654023,11,1,10,0,place;settlements,1,דאַנציג,org;person,wikidata;kima
Q1794,Frankfurt am Main (Germany),,,settlement,422,Frankfurt am Main (Germany),פרנקפורט דמיין (גרמניה),50.1105555555556,8.68222222222222,1,0,1,0,settlements,1,פֿראַנקפורט,org,wikidata;kima
Q179585,Ploiești,,"municipality of Romania, capital of county in Romania, big city",settlement,664,Ploiești (Romania),פלוישט (רומניה),,,1,1,0,0,place,1,פלעשוט,person,wikidata;kima
Q179779,Bacău County,,county of Romania,province,,,,,,1,1,0,0,province,1,באַקווי,person,wikidata
Q179830,Jelgava (Latvia),,,settlement,15522,Jelgava (Latvia),ילגבה (לטביה),56.652222222222,23.724444444444,1,1,0,0,province,1,מיטוי,person,wikidata;kima
Q1799,Wrocław,ברעסלוי,"city with powiat rights in Poland, city, Hanseatic city, big city",settlement,951,Wrocław (Poland),ורוצלב (פולין),51.110000,17.032500,5,2,3,0,place;settlements,4,ברעסלוי;ווראַצלאָוו;ווראָצלאַוו (ברעסלוי);ווראָצלאָוו,org;person,wikidata;kima
Q180086,Galicia,גאליציע,"historical region, Ukrainian historical regions",province,1473,Galicia (Poland and Ukraine),גליציה (פולין-אוקראינה),,,221,200,21,0,countries;place;province;settlements;venues,4,אַליציע;גאַליצוע;גאַליציע;גאליציע,org;person,wikidata;kima
Q180294,Jaffa,יפו,"city, quarter",neighborhood,629,"Jaffa (Tel Aviv-Yafo, Israel)","יפו (תל אביב-יפו, ישראל)",32.052222,34.753056,9,2,7,2,place;settlements,2,יפו;יפֿו,org;person,wikidata;kima
Q180379,Rēzekne,,"state city of Latvia, city under state jurisdiction in Latvia",settlement,15523,Rēzekne (Latvia),רזקנה (לטביה),56.506667,27.330833,2,1,1,0,place;settlements,1,רעזשיצע,org;person,wikidata;kima
Q1808793,Lavagna,,frazione,other,,,,,,1,1,0,1,place,1,וואסלואי,person,wikidata
Q18125,Manchester,מאנטשעסטער,"city, big city, unparished area",settlement,245,Manchester (England),מנצ'סטר (אנגליה),53.466667,-2.233333,7,4,3,3,place;settlements,1,מאַנטשעסטער,org;person,wikidata;kima
Q181376,Hrodna,גראדנע,"city or town, big city, city of oblast subordinance",settlement,882,Hrodna (Belarus),גרודנו (בלארוס),53.666667,23.816667,54,27,27,0,place;settlements,2,גראָדנע;גראדנע,org;person,wikidata;kima
Q181632,Vileyka,,city of raion subordinance,settlement,6103,"Vileĭka (Minskai︠a︡ voblastsʹ, Belarus)","ווילייקה (מחוז מינסק, בלארוס)",,,1,1,0,0,place,1,ווילייקער תפיסה,person,wikidata;kima
Q182563,Ciechanów,,,other,,,,,,3,3,0,3,place,1,טשעכאַנאָוו,person,wikidata
Q1829,Kaliningrad (Russia),,,settlement,405,Kaliningrad (Russia),קלינינגרד (רוסיה),54.716666666,20.5,5,1,4,0,province;settlements,1,קעניגסבערג,org;person,wikidata;kima
Q183,Germany,דייטשלאנד,"sovereign state, social state, Rechtsstaat, country bordering the Baltic Sea, country",country,87828,Germany,גרמניה,,,86,12,74,0,countries;country;place;venues,3,דייטשלאַנד;דייטשלאנד;דייטשלאַנד,org;person,wikidata;kima
Q183048,The Beach Boys,,musical group,other,,,,,,3,3,0,3,place,2,קאַידענאָוו;קאָידענאָוו,person,wikidata
Q18383,Providence,פראווידענס,"big city, county seat, city in the United States",settlement,7741,Providence (R.I.),פרובידנס (רוד איילנד),41.82399,-71.41283,2,1,1,0,place;settlements,1,פּראָווידענס,org;person,wikidata;kima
