source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
פּאַרטשעוו	Parczew	Q2343396	17675	Parczew (Biała Podlaska, Poland)	פארצ'ב (בילה פודלסקה, פולין)	WIKIDATA	2-facs_132_tr_1744279065|5-facs_170_tr_1735652615	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
טאָמאַשאָוו	Tomaszów Mazowiecki	Q157994	10105	Tomaszów Mazowiecki (Poland)	טומשוב מזוביצק (פולין)	WIKIDATA	2-facs_147_tr_1744279089|2-facs_177_tr_1744279199	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ניקאָלאָיעוו	Mykolaiv	Q41572	10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	WIKIDATA	2-facs_176_tr_1744279118	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מאָטעלע	Motal	Q773891	12594	Motalʹ (Belarus)	מוטלה (בלארוס)	WIKIDATA	2-facs_299_tr_1744280815|3-facs_343_tr_1756107174	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ברוסילאָוו	Brusyliv	Q946994	79683	Brusyliv (Ukraine)	ברוסילוב (אוקראינה)	WIKIDATA	2-facs_313_tr_1744365816|6-facs_177_tr_1747825182|6-facs_406_tr_1747930311	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
רוזשאַניי	Ruzhany	Q615132	20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)	WIKIDATA	2-facs_321_tr_1744365709	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זשאַרנישטש	Zhornyshche	Q4181118	69546	Z︠H︡ornyshche (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	ז'ורנישצ'ה (מחוז ויניצה, אוקראינה)	WIKIDATA	2-facs_372_tr_1744366848	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ברזשעזשין	Brzeziny	Q324917	16601	Brzeziny (Łódź, Poland)	בז'ז'ין (ליד לודז', פולין)	WIKIDATA	2-facs_73_tr_1744131432	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קלעוואן	Klevan	Q250591	22131	Klevan (Ukraine)	קלוון (אוקראינה)	NAME_EXACT	2-facs_85_tr_1744131380	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
בעריסלאָוו	Beryslav	Q829317	25311	Beryslav (Ukraine)	בריסלב (אוקראינה)	WIKIDATA	3-facs_320_tr_1756045941|7-facs_34_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ביאַלאָ מאַזאָוויעצק	Biała Rawska	Q148956	19384	Biała Rawska (Poland)	בילה רוסקה (פולין)	WIKIDATA	4-facs_202_tr_1754998546	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
וולאָשטשאַווע	Włoszczowa	Q611784	17474	Włoszczowa (Poland)	וולושצובה (פולין)	WIKIDATA	4-facs_354_tr_1754998468	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
בראַסלאָוו	Bratslav	Q903241	18550	Brat︠s︡lav (Ukraine)	ברסלב (אוקראינה)	WIKIDATA	4-facs_445_tr_1755030294	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סלאָוועשנע	Slovechne	Q3878279	77589	Slovechne (Ukraine)	סלובצ'נה (אוקראינה)	WIKIDATA	4-facs_446_tr_1755029998	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אַדימאָוו	Adamov	Q158242	71143	Adamov (Jihomoravský kraj, Czechoslovakia)	אדמוב (מורביה הדרומית, צ'כיה)	WIKIDATA	4-facs_627_tr_1755030085	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
דאַטשעוו	Dashiv	Q2653301	76730	Dashiv (Ukraine)	דאשב (אוקראינה)	WIKIDATA	4-facs_63_tr_1753681916	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
שפּאָלע	Shpola	Q145957	18113	Shpola (Ukraine)	שפולה (אוקראינה)	WIKIDATA	6-facs_178_tr_1747825088|7-facs_52_r_3	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
