verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
DISAGREE_PLACE	1	וויין	Q49370544	Wayne (N.J.)	Q3891562	unincorporated community in Delaware County, Pen
DISAGREE_PLACE	1	קובא	Q647982	Quba (Azerbaijan)	Q241	sovereign state situated on an island in the Car
DISAGREE_PLACE	1	Michigan	Q1166	Michigan	Q2310114	city in Nelson County, North Dakota, United Stat
DISAGREE_PLACE	1	אַמבו	Q651860	Embu (Brazil)	Q138833	city
DISAGREE_PLACE	1	קאַרלין	Q4215244	Karlin (Belarus)	Q1734030	neighborhood of Prague, Czech Republic, formerly
DISAGREE_PLACE	1	סווענציאַן	Q42936	Soncino (Italy)	Q137863	city of Lithuania
DISAGREE_PLACE	1	לוגאַנסק	Q134279	Luhansʹk (Luhansʹka oblastʹ, Ukraine)	Q171965	administrative division (oblast) in eastern Ukra
DISAGREE_PLACE	1	New York	Q3708418	New York (State), Western	Q60	most populous city in the United States
DISAGREE_PLACE	1	סטאָניסלאוו	Q156726	Stanislav (Ukraine)	Q178269	oblast of Ukraine
DISAGREE_PLACE	1	כאַרקאַוו	Q42308	Kharkiv (Ukraine)	Q170666	oblast of Ukraine
DISAGREE_PLACE	1	אַרץ-ישראל	Q801	Israel	Q23792	geographic region in West Asia
DISAGREE_PLACE	1	סטאַניסלאַוו	Q156726	Stanislav (Ukraine)	Q178269	oblast of Ukraine
NO_WD_PLACE	149	ווין	Q1741	Vienna (Austria)		
NO_WD_PLACE	64	דעטראָיט	Q12439	Detroit (Mich.)		
NO_WD_PLACE	27	שיקאַגע	Q1297	Chicago (Ill.)		
NO_WD_PLACE	21	נ. י.	Q60	New York (N.Y.)		
NO_WD_PLACE	13	סט. לואיס	Q38022	Saint Louis (Mo.)		
NO_WD_PLACE	12	קאָנסטאַנטינאָפּאָל	Q406	Istanbul (Turkey)		
NO_WD_PLACE	9	וויניפּעג	Q2096	Edmonton (Alta.)		
NO_WD_PLACE	9	בודאָפּעסט	Q1781	Budapest (Hungary)		
NO_WD_PLACE	9	דעטראיט	Q12439	Detroit (Mich.)		
NO_WD_PLACE	8	לאָדזשער געטאָ	Q327895	Litzmannstadt-Getto (Łódź, Poland)		
NO_WD_PLACE	8	ליבאַווע	Q167668	Liepāja (Latvia)		
NO_WD_PLACE	7	מינכען	Q1726	Munich (Germany)		
NO_WD_PLACE	7	ניקאָלאַיעוו	Q41572	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)		
NO_WD_PLACE	6	בראָדי	Q465104	Brody (Ukraine)		
NO_WD_PLACE	6	ניויאָרק	Q60	New York (N.Y.)		
NO_WD_PLACE	6	האָמעל	Q2678	Homelʹ (Belarus)		
NO_WD_PLACE	6	סינסינעטי	Q43196	Cincinnati (Ohio)		
NO_WD_PLACE	5	קאָליפֿאָרניע	Q99	California		
NO_WD_PLACE	5	לענינגראָד	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	4	קרים	Q7835	Crimea (Ukraine)		
NO_WD_PLACE	4	מעלבורן	Q3141	Melbourne (Vic.)		
NO_WD_PLACE	4	מילוואַקיי	Q37836	Milwaukee (Wis.)		
NO_WD_PLACE	4	פּעטראָגראָד	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	4	קאָפּענהאָגן	Q1748	Copenhagen (Denmark)		
NO_WD_PLACE	3	קאַאיראָ	Q85	Cairo (Egypt)		
NO_WD_PLACE	3	סטאָניסלאָוואָוו	Q156726	Stanislav (Ukraine)		
NO_WD_PLACE	3	דניעפּראָפּיעטראָווסק	Q43295	Villeneuve-d'Ascq (France)		
NO_WD_PLACE	3	טאַרנאָוו	Q102317	Kielce (Poland)		
NO_WD_PLACE	3	קהלה	Q550808	Kahla (Germany)		
NO_WD_PLACE	3	שול	Q2615865	Siauliai (Lithuania : Ghetto)		
NO_WD_PLACE	3	וולאַצלאַוועק	Q106681	Włocławek (Poland)		
NO_WD_PLACE	3	בענדער	Q192176	Bender (Moldova)		
NO_WD_PLACE	3	קליוולענד	Q5083	Seattle (Wash.)		
NO_WD_PLACE	3	האַוואַנאַ	Q1563	Havana (Cuba)		
NO_WD_PLACE	3	ראָסטאָוו	Q908	Rostov-na-Donu (Russia)		
NO_WD_PLACE	3	סאַנדאמיר	Q193177	Sandomierz (Poland)		
NO_WD_PLACE	3	לויוויטש	Q109992	Łowicz (Poland)		
NO_WD_PLACE	3	בודאפּעסט	Q1781	Budapest (Hungary)		
NO_WD_PLACE	3	מאַריענבאַד	Q523469	Mariánské Lázně (Czech Republic)		
NO_WD_PLACE	3	קאַאייראָ	Q85	Cairo (Egypt)		
NO_WD_PLACE	3	כאָסטאָן	Q100	Boston (Mass.)		
NO_WD_PLACE	2	קאָליפֿאַרניע	Q99	California		
NO_WD_PLACE	2	לענינגראַד	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	2	אַנטווערפּען	Q12892	Antwerp (Belgium)		
NO_WD_PLACE	2	פּעטערסבורג	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	2	ניקאָ'אַיעוו	Q41572	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)		
NO_WD_PLACE	2	טאָמסק	Q5687	Jericho (West Bank)		
NO_WD_PLACE	2	סימפעראָפּאָל	Q19566	Simferopol (Ukraine)		
NO_WD_PLACE	2	קאמענעץ-פּאַדאָלסק	Q193965	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)		
